RRID,Name,AKA,Species,Description,MAC Knockins/outs,MIC Knockins/outs,Gene of interest,Origin,Publications,Comments
TSC_SD01738,VI001,,T. thermophila,"MPR1/mpr1-1; PAR1/par1-1[Δ<sub>17-2587</sub>(::neo4, KanR2)] (MPR1/mpr1-1; PAR1/par1-1[Δ<sub>17-2587</sub>(::neo4, KanR2)]; mp-r, pm-r, ?)",,PAR1 gene partially replaced by neo4-KanR2 cassette.,"PAR1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00502600\"">TTHERM_00502600</a>)",Germline biolistic transformation of mating B2086 and CU428 strains using a neo4-KanR2 knockout cassette.,,"The knockout also introduces a frameshift mutation. The knockout has been confirmed by 6-methylpurine and paromomycin resistance, but neither micronuclear nor macronuclear allele homozygosity has been verified. The neo4-KanR2 knockout cassette was generated by cloning fragments of the pNeo4 plasmid's neo4 cassette and the pUC4K plasmid's KanR2 cassette. The KanR2 gene was used for E. coli transformation and is not a selectable marker in Tetrahymena. <br /><br />Submitted by Robert Coyne, J. Craig Venter Institute"
TSC_SD01739,VI004,,T. thermophila,"(JMJ2/jmj2-1[Δ<sub>21-672</sub>(::neo4, KanR2)]; pm-r, II)",JMJ2 gene partially replaced by neo4-KanR2 cassette.,PAR1 gene partially replaced by neo4-KanR2 cassette.,"JMJ2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00455500\"">TTHERM_00455500</a>)",Somatic biolistic transformation of B2086 strains using a neo4-KanR2 knockout cassette.,,"The knockout also introduces a frameshift mutation. The knockout has been confirmed by paromomycin resistance, but macronuclear allele homozygosity has not been verified. The neo4-KanR2 knockout cassette was generated by cloning fragments of the pNeo4 plasmid's neo4 cassette and the pUC4K plasmid's KanR2 cassette. The KanR2 gene was used for E. coli transformation and is not a selectable marker in Tetrahymena.<br /><br />Submitted by Robert Coyne, J. Craig Venter Institute"
TSC_SD01740,VI005,,T. thermophila,"(LSD2/lsd2-1[Δ<sub>1-302</sub>(::neo4, KanR2)]; pm-r, II)",LSD2 gene partially replaced by neo4-KanR2 cassette.,PAR1 gene partially replaced by neo4-KanR2 cassette.,"LSD2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00600670\"">TTHERM_00600670</a>)",Somatic biolistic transformation of B2086 strains using a neo4-KanR2 knockout cassette.,,"The knockout also deletes 838bp of the 5' flanking region and introduces a frameshift mutation. The knockout has been confirmed by paromomycin resistance, but macronuclear allele homozygosity has not been verified. The neo4-KanR2 knockout cassette was generated by cloning fragments of the pNeo4 plasmid's neo4 cassette and the pUC4K plasmid's KanR2 cassette. The KanR2 gene was used for E. coli transformation and is not a selectable marker in Tetrahymena.<br /><br />Submitted by Robert Coyne, J. Craig Venter Institute"
TSC_SD01741,VI006,,T. thermophila,"mpr1-1/mpr1-1 (MPR1; ADA2/ada2-1[Δ<sub>1-537</sub>(::neo4, KanR2)]; pm-r, VII)",ADA2 gene partially replaced by neo4-KanR2 cassette.,PAR1 gene partially replaced by neo4-KanR2 cassette.,"ADA2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00790730\"">TTHERM_00790730</a>)",Somatic biolistic transformation of CU428 strains using a neo4-KanR2 knockout cassette.,,"The knockout also deletes 213bp of the 5' flanking region and introduces a frameshift mutation. The knockout has been confirmed by paromomycin resistance, but macronuclear allele homozygosity has not been verified. The neo4-KanR2 knockout cassette was generated by cloning fragments of the pNeo4 plasmid's neo4 cassette and the pUC4K plasmid's KanR2 cassette. The KanR2 gene was used for E. coli transformation and is not a selectable marker in Tetrahymena.<br /><br />Submitted by Robert Coyne, J. Craig Venter Institute"
TSC_SD01742,VI007,,T. thermophila,"mpr1-1/mpr1-1 (MPR1; SPT6/spt6-1[Δ<sub>153-1433</sub>(::neo4, KanR2)]; pm-r, VII)",SPT6 gene partially replaced by neo4-KanR2 cassette.,PAR1 gene partially replaced by neo4-KanR2 cassette.,"SPT6 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01093550\"">TTHERM_01093550</a>)",Somatic biolistic transformation of CU428 strains using a neo4-KanR2 knockout cassette.,,"The knockout also introduces a frameshift mutation. The knockout has been confirmed by paromomycin resistance, but macronuclear allele homozygosity has not been verified. The neo4-KanR2 knockout cassette was generated by cloning fragments of the pNeo4 plasmid's neo4 cassette and the pUC4K plasmid's KanR2 cassette. The KanR2 gene was used for E. coli transformation and is not a selectable marker in Tetrahymena.<br /><br />Submitted by Robert Coyne, J. Craig Venter Institute"
TSC_SD01743,VI008,,T. thermophila,"mpr1-1/mpr1-1 (MPR1; UPF3/upf3-1[Δ<sub>11-159</sub>(::neo4, KanR2)]; pm-r, VII)",UPF3 gene partially replaced by neo4-KanR2 cassette.,PAR1 gene partially replaced by neo4-KanR2 cassette.,"UPF3 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00046240\"">TTHERM_00046240</a>)",Somatic biolistic transformation of CU428 strains using a neo4-KanR2 knockout cassette.,,"The knockout also introduces a frameshift mutation. The knockout has been confirmed by paromomycin resistance, but macronuclear allele homozygosity has not been verified. The neo4-KanR2 knockout cassette was generated by cloning fragments of the pNeo4 plasmid's neo4 cassette and the pUC4K plasmid's KanR2 cassette. The KanR2 gene was used for E. coli transformation and is not a selectable marker in Tetrahymena.<br /><br />Submitted by Robert Coyne, J. Craig Venter Institute"
TSC_SD01744,H1 WT-GFP,,T. thermophila,"somatic, H1 wt-GFP tagged;  pushed to completion (hho1[3’neo2,GFPc]; pm-r, GFP positive, VII)",GFP tagged HHO1,,"HHO1, Histone H1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00823720\"">TTHERM_00823720</a>)",,"Dou, Y, Bowen, J., Liu, Y. and Gorovsky, M. A. 2002. Phosphorylation and an ATP-dependent Process Increase the Dynamic Exchange of H1 in Chromatin, J. Cell Biol 158:1161-1170","This is the somatic replacement strain GFP tagged wt H1 replaced the endogenous H1 flanking neo2 cassette was used as resistance marker<br /><br />From the Gorovsky Lab, University of Rochester."
TSC_SD01745,IA119,cdaC-1  III,T. thermophila,"cdaC-1/cdaC-1                  (Originally published as                    mo3a) (cdaC-1; cdaC, III)",,,CDAC (cell division arrest C) (originally published as mo3),F2 following outcross to B1868 VI of an assortant derived from nitroso-guanidine mutagenesis of B1868 VI x VII in 1973,"Frankel J, Jenkins LM, Doerder FP, Nelsen EM. 1976. Mutations affecting cell division in tetrahymena pyriformis. I. selection and genetic analysis. Genetics 83(3):489-506.","Located on chromosome 5. A sister clone of IA118, which expresses near complete fission blockage at temperatures of 39° C and 15°C (IA118 is reported in Dev. Biol. 58:255-275 but is extinct).<br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01746,IA178,cdaA-1 - cdaC-1 II,T. thermophila,"cdaA-1/cdaA-1; cdaC-1/cdaC-1 (cdaA-1; cdaC-1; cdaA, cdaC, III)",,,"CDAA (Cell division arrest A), CDAC (Cell division arrest C)",F2 following a cross of cdaA-1 (D) to cdaC-1 (IA118) homozygotes (both extinct),"Frankel J, Nelsen EM, Jenkins LM. 1977. Mutations affecting cell division in tetrahymena pyriformis, syngen 1. II. phenotypes of single and double homozygotes. Dev Biol 58(2):255-75.","Joint expression of cdaA and cdaC patterns of fission arrest. Mixed B-strain and D-strain genetic background.<br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01747,IA246,psmA2 II,T. thermophila,"psmA-2/psmA-2 (psmA-2; psmA, II)",,,PSMA (pseudomacrostomeA),Genomic exclusion progeny following an outcross to B2079 X-VI of a mutant clone that resulted from nitrosoguanidine mutagenesis in 1979  of SB210 followed by cytogamy.,Unpublished,"A considerably more weakly expressed allele of psmA-1 (IA223) and psmA-3 (IA485, IA486). Delayed expression at 39° of a phenotype qualitatively similar to that of the &quot;strong&quot; alleles.<br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01748,IA271,gal1-1 - eja1-1 HK II,T. thermophila,"gal1-1/gal1-1; eja1-1/eja1-1 (GAL1; eja1-1; gal-s, eja1, II)",,,,Progeny of first-round genomic-exclusion of F1 offspring from a SB210 x eja1-1/eja1-1 cross that was initially resistant to 2D-gal but assorted to 2D-gal sensitivity.,Unpublished,"2-deoxy-D-galactose resistance functional heterokaryon, homozygous for eja1-1. Sister clone of IA264. Probably not used in mutagenesis experiments. <br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01749,IA310,cdaE-4 III,T. thermophila,"cdaE-4/cdaE-4 (cdaE-4; cdaE, III)",,,CDAE (cell-division-arrest E),Genomic exclusion progeny following an outcross to B2079 X-VI of a mutant clone that resulted from nitrosoguanidine mutagenesis in 1981  of IA264 followed by cytogamy.,Unpublished,"Allelelic to cdaE-1 (IA137) and cdaE-3 (IA225). The extinct cdaE-4 IV sister clone showed identical phenotype, similarly high (possibly higher) expression at 39°C. compared to IA137 (Sister clone to IA312).<br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01750,IA312,cdaE-4 VI,T. thermophila,"cdaE-4/cdaE-4 (cdaE-4; cdaE, VI)",,,CDAE (cell-division-arrest E),Genomic exclusion progeny following an outcross to B2079 X-VI of a mutant clone that resulted from nitrosoguanidine mutagenesis in 1981  of IA264 followed by cytogamy.,Unpublished,"Allelelic to cdaE-1 (IA137) and cdaE-3 (IA225). The extinct cdaE-4 IV sister clone showed identical phenotype, similarly high (possibly higher) expression at 39°C compared to IA137. (Sister clone to IA 310).<br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01751,IA420,hpo1-1 - janC-1 IV,T. thermophila,"hpo1-1/hpo1-1; janC-1/janC-1 (hpo 1-1; janC-1; hpo1; janC, IV)",,,"HPO1 (hypoangular 1), JANC (janusC)",Genomic exclusion progeny following a cross of janC1(IV) with hpo1-1 (VII) homozygotes (both extinct),Unpublished,"janC is very weakly expressed in this double homozygote.<br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01752,C2 VII,,T. thermophila,"mat1-3/mat1-3; serH-4/serH-4 (mat 1-3; serH-4, VII)",,,,"Derived from a genomic-exclusion cross of the progeny of a cross between inbred strains A and C. For details, see Fig. 1 in Allen et al. 1984, cited below.","Nanney DL. 1959. Genetic factors affecting mating type frequencies in variety 1 of tetrahymena pyriformis. Genetics 44(6):1173-84.

Allen SL, Ervin PR, McLaren NC, Brand RE. 1984. The 5S ribosomal RNA gene clusters in tetrahymena thermophila: Strain differences, chromosomal localization, and loss during micronuclear ageing. Mol Gen Genet 197(2):244-53. 

Williams NE, Doerder FP, Ron A. 1985. Expression of a cell surface immobilization antigen during serotype transformation in tetrahymena thermophila. Mol Cell Biol 5(8):1925-32. 

Gerber CA, Lopez AB, Shook SJ, Doerder FP. 2002. Polymorphism and selection at the SerH immobilization antigen locus in natural populations of tetrahymena thermophila. Genetics 160(4):1469-79.","Submitted by Joseph Frankel, University of Iowa "
TSC_SD01753,CU458,pmr1-1 - cnj1-1 V,T. thermophila,"pmr1-1/pmr1-1; cnj1-1/cnj1-1 (pmr1-1; cnj1-1; pm-r; cnj1, V)",,,CNJ1,See Cole et al. 1997 Dev. Biol. 189: 215-232,"Cole ES, Cassidy-Hanley D, Hemish J, Tuan J, Bruns PJ. 1997. A mutational analysis of conjugation in tetrahymena thermophila. 1. phenotypes affecting early development: Meiosis to nuclear selection. Dev Biol 189(2):215-32.","Submitted by Joseph Frankel, University of Iowa "
TSC_SD01754,B2192 III,,T. thermophila,mat1-2 (III),,,,Derived from a cross of B2086 II  x B2086 VIa. Isogenic with B2192 IVB.,Unpublished,"A representative of the latest inbred generation of the B strain derived in the Frankel lab (by Leslie Jenkins). It was not used in any crosses with mutant clones. <br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01755,B2192 IVb,,T. thermophila,mat1-2 (IV),,,,Derived from a cross of B2086 II  x B2086 VIa. Isogenic with B2192 III.,Unpublished,"A representative of the latest inbred generation of the B strain derived in the Frankel lab (by Leslie Jenkins). It was not used in any crosses with mutant clones. <br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01756,B2192 VIIb,,T. thermophila,mat1-2 (VII),,,,Derived from a genomic exclusion cross of B2086 II with B* VI. ,Unpublished,"A representative of the latest inbred generation of the B strain derived in the Frankel lab (by Leslie Jenkins). It was not used in any crosses with mutant clones. <br /><br />Submitted by Joseph Frankel, University of Iowa "
TSC_SD01757,VPS13A::GFP,TtVPS13A::GFPA5,T. thermophila,"mpr1-1/mpr1-1; VPS13A/VPS13A (MPR1; VPS13A/vps13a-2::gfp; pm-r, mp-s, VII, VII)",,,Vacuolar Protein Sorting 13A gene,Macronuclear transformant of strain CU428.2 with a construct containing GFP fused to the C-terminus of the TtVPS13A gene. The construct included neo gene under control of MTT1 promoter.,"Samaranayake H.S., Cowan A.E., Klobutcher L.A. 2011. Vacuolar protein sorting protein 13A, TtVPS13A, localizes to the tetrahymena thermophila phagosome membrane and is required for efficient phagocytosis. Eukaryotic Cell 10(9):1207-18.

Samaranayake HS. 2010. Assessing the role of tetrahymena thermophila vacuolar protein sorting 13A (TtVPS13A) in phagocytosis. University of Connecticut (PhD thesis).","Deposited line has been grown with high concentration of paromomycin (1 mg/ml) for phenotypic assortment, but it has not been subcloned. Gene has also been referred to as TtVPS13A. Stock has been maintained in SSP medium + 2 ug/ml CdCl<sub>2</sub> + 1 mg/ml paromomycin.<br /><br />Submitted by Lawrence Klobutcher, University of Connecticut Health Center"
TSC_SD01758,VPS13A::NEO,TtVPS13AA4PA,T. thermophila,"mpr1-1/mpr1-1; VPS13A/VPS13A (MPR1; vps13a-1::neo4; pm-r, mp-s, VII, VII)",knockout of VPS13A,,Vacuolar Protein Sorting 13A gene,Strain CU428.2 with complete macronuclear replacement of VPS13A gene with allele containing a NEO4 gene insertion and deletion of parts of intron 2 and exon 3.,"Samaranayake H.S., Cowan A.E., Klobutcher L.A. 2011. Vacuolar protein sorting protein 13A, TtVPS13A, localizes to the tetrahymena thermophila phagosome membrane and is required for efficient phagocytosis. Eukaryotic Cell 10(9):1207-18.

Samaranayake HS. 2010. Assessing the role of tetrahymena thermophila vacuolar protein sorting 13A (TtVPS13A) in phagocytosis. University of Connecticut (PhD thesis).
","Deposited line is phenotypic assorted subclone with no detectable copies of wild type VPS13A gene. Gene has also been referred to as TtVPS13a. Stock has been maintained in SSP medium + 0.1 ug/ml CdCl<sub>2</sub> + 6 mg/ml paromomycin.<br /><br />Submitted by Lawrence Klobutcher, University of Connecticut Health Center"
TSC_SD01759,CU459,pmr1-1 - cnj1-1 VII,T. thermophila,"pmr1-1/pmr1-1; cnj1-1/cnj1-1 (pmr1-1; cnj1-1; pm-r; cnj1, VII)",,,CNJ1,See Cole et al. 1997 Dev. Biol. 189: 215-232,"Cole ES, Cassidy-Hanley D, Hemish J, Tuan J, Bruns PJ. 1997. A mutational analysis of conjugation in tetrahymena thermophila. 1. phenotypes affecting early development: Meiosis to nuclear selection. Dev Biol 189(2):215-32.","Submitted by Joseph Frankel, University of Iowa "
TSC_SD01760,TC102,,T. thermophila,"mpr1/mpr1; RAD51/RAD51 (mpr1, rad51-1::neo; pm-r, mp-r, II)",,,,,"Marsh TC, Cole ES, Romero DP. 2001. The transition from conjugal development to the first vegetative cell division is dependent on RAD51 expression in the ciliate tetrahymena thermophila. Genetics 157(4):1591-8.

Marsh TC, Cole ES, Stuart KR, Campbell C, Romero DP. 2000. RAD51 is required for propagation of the germinal nucleus in tetrahymena thermophila. Genetics 154(4):1587-96.","Submitted by Eric Cole, St. Olaf College"
TSC_SD01761,TC103,,T. thermophila,"mpr1/mpr1; RAD51/RAD51 (mpr1, rad51-1::neo; pm-r, mp-r, IV)",,,,,"Marsh TC, Cole ES, Romero DP. 2001. The transition from conjugal development to the first vegetative cell division is dependent on RAD51 expression in the ciliate tetrahymena thermophila. Genetics 157(4):1591-8.

Marsh TC, Cole ES, Stuart KR, Campbell C, Romero DP. 2000. RAD51 is required for propagation of the germinal nucleus in tetrahymena thermophila. Genetics 154(4):1587-96.","Submitted by Eric Cole, St. Olaf College"
TSC_SD01762,TC105,,T. thermophila,"mpr1/mpr1; rad51-1::neo/rad51-1::neo (mpr1, RAD51; pm-s, mp-r, V)",,,,,"Marsh TC, Cole ES, Romero DP. 2001. The transition from conjugal development to the first vegetative cell division is dependent on RAD51 expression in the ciliate tetrahymena thermophila. Genetics 157(4):1591-8.

Marsh TC, Cole ES, Stuart KR, Campbell C, Romero DP. 2000. RAD51 is required for propagation of the germinal nucleus in tetrahymena thermophila. Genetics 154(4):1587-96.","Submitted by Eric Cole, St. Olaf College"
TSC_SD01769,MTT-HTAY-Flag-MTT (XS76 31-1),,T. thermophila,"(MTT1/mtt1[5’neo2, ∆, HTAY 123-388, Flagc]; pm-r, ?)",Flag C-terminal tagged HTAY gene fragment coding for AA123 to 388 into MTT1 locus,,"HTAY (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01079200\"">TTHERM_01079200</a>)",Xiaoyuan Song,,"(XS 76 31-1) Somatic transformant obtained by shooting CU428 X B2086 exconjugant cells. HTA.Y fused with c-terminal Flag tag was used to replace MTT1 coding. Neo2 cassette is the selectable marker. Not completely replaced.<br /><br />From the Gorovsky lab, University of Rochester."
TSC_SD01771,MTT-HA-PP50 #3,,T. thermophila,"mpr1-1/mpr1-1 (pm-r, VII)","PPO1 gene with 2 HA tags at n-terminus partially replace MTT1 coding, also neo2 in 5’ flanking region of MTT1.  ",,"PPO1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00865290\"">TTHERM_00865290</a> and <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00865300\"">TTHERM_00865300</a>)",Jody Bowen,"Song X, Bowen J, Miao W, Liu Y, Gorovsky MA. 2012. The nonhistone, N-terminal tail of an essential, chimeric H2A variant regulates mitotic H3-S10 dephosphorylation. Genes Dev 26(6):615-29.","Used Xiayuan Song’s pXS 75 construct: neo 2 in 5 flank of MTT1 gene. 2 HA tags right after ATG. then PP50 coding sequence. Need 100ug/ml pm in medium to keep the tagged gene present.<br /><br />From the Gorovsky lab, University of Rochester."
